Date,Headline,Logit,Prediction,Sentiment_Score
2022-06-12,"Commercial Banks Profit Rs. 58 Arba Till Baishakh of This Fiscal Year, 3 Development Banks and 2 Finance Companies In Loss","[-0.7801, -1.0244, 2.3136]",positive,0.9252055883407593
2022-06-07,Comparative Analysis of Commercial Banks: How Much Has P/E Ratio Declined Since The All-Time High?,"[-1.5331, 2.7735, -1.0409]",neutral,0.0
2022-06-06,Commercial Banks' Overall Market Capitalization Has Dropped By 32% Since The All Time High,"[-1.8854, 3.0893, -0.9030]",neutral,0.0
2022-06-01,52-Week High/Low Analysis; Is This The Best Time To Buy Shares?,"[-0.6800, -0.9397, 2.2461]",positive,0.91328364610672
2022-05-03,Do All Commercial Banks Maintain Minimum CAR and Core Capital (Tier-I) Prescribed by Nepal Rastra Bank?,"[-0.7195, -1.4397, 2.5630]",positive,0.9471465349197388
2022-05-01,Detailed Summary Of Dividends Distributed By Sectors Listed In Nepse For FY-77/78 With Exact Dividend Figures,"[-1.2563, -0.6328, 2.5986]",positive,0.9427927732467651
2022-04-26,Commercial Banks See Decrement in Total Deposit by Rs. 10B and Lending By Rs. 1B in Second Week of Baisakh,"[-0.9433, 0.3554, 0.4076]",positive,0.4528733789920807
2022-04-24,Thriving During Liquidity Crisis In Nepal; A Quick Look At The Third Quarter Performance Of Commercial Bank's,"[0.0369, -1.6089, 1.7150]",positive,0.8178344368934631
2022-04-21,"Total Deposit in Commercial Banks at Rs. 4377B in First Week of Baisakh, Lending at Rs. 4195B","[-1.1486, -0.8162, 2.5658]",positive,0.9448679089546204
2022-04-21,"What is the latest base rate, Credit-Deposit Ratio and, Credit Adequacy Ratio of commercial banks? How Will It Impact The Market?","[-1.3624, -0.1560, 2.3191]",positive,0.9014361500740051
2022-04-19,"In 8-months of FY, Highest Credit From Commercial Banks Went to Wholesale and Retail","[0.0857, -2.1745, 2.1139]",positive,0.8731277585029602
2022-04-18,"Commercial Banks Profit Rs. 46 Arba Till Falgun of FY, 3 Development Banks and 2 Finance Companies in Loss","[-0.7413, -0.7005, 2.0485]",positive,0.8885513544082642
2022-04-12,"Deposit Collection Up Rs. 3 Billion in Fourth Week of Chaitra, Lending Up Rs. 2 Billion","[1.9512, -2.0255, -1.1261]",negative,-0.9391181468963623
2022-04-11,"Commercial Banks Keep Interest Rates Unchanged for Baisakh, LC Prohibited for Non-Essential Import","[-1.0921, -0.5294, 2.3010]",positive,0.9152546525001526
2022-04-06,"Deposit Collection Chokes in Chaitra's Third Week, Lending Up Rs. 5B","[-1.2041, 2.7813, -1.5661]",neutral,0.0
2022-04-05,"Non-Essential Imports Prohibited to Ease Liquidity Crunch, Banks to Constrict Credit Flow","[-0.5460, 0.0325, 0.4835]",positive,0.5014393925666809
2022-03-28,Total Deposit and Lending in Commercial Banks Rise Rs. 2B Each in Second Week of Chaitra,"[1.5161, -1.8056, -0.6940]",negative,-0.8727645874023438
2022-03-18,"Hopeful Growth in Deposit in Last Week of Falgun, Lending Also Rises","[2.1111, -2.4211, -0.8333]",negative,-0.9403891563415527
2022-03-18,First-ever Agro Loan Expo to kickstart at Chitwan on Chaitra 9; one-stop destination for agro entrepreneurs to find suitable agro machinery and agro loan schemes,"[1.8212, -2.8739, 0.3931]",negative,-0.8007038831710815
2022-03-14,"Deposit Rose Minimally in Fourth Week of Falgun, Lending Down Rs. 1B","[-0.3532, 1.4727, -1.6356]",neutral,0.0
2022-03-14,"Commercial Banks Forwarded Rs. 11.84 Arba Loan in Magh, Most of it Went to Wholesale and Retail","[-0.5944, -1.5330, 2.3900]",positive,0.9342708587646484
2022-03-14,"Commercial Banks Profit Rs. 40.24 Arba in First Seven Months of FY, 3 Development Banks and 2 Finance Companies in Loss","[-0.9362, -0.6457, 2.1267]",positive,0.9014984369277954
2022-03-14,"Banks Keep Interest Rates Unchanged for Chaitra, Finance Companies Raise Theirs","[-0.4716, -0.6363, 1.7245]",positive,0.8294827342033386
2022-03-09,"Weekly Deposit Figure Sees Noticeable Increment After Long, Lending Also Sees Modest Gain","[0.7416, -1.0425, -1.1163]",negative,-0.7553286552429199
2022-03-02,Dividend of ALICL and ADBL Now Distributed to Eligible Shareholders,"[-0.7332, -1.5523, 2.6657]",positive,0.9540718197822571
2022-02-28,"Deposit Collection Rose Rs. 1B in Second Week of Falgun, Lending Up Rs. 6B","[2.0357, -1.8613, -1.4891]",negative,-0.9525978565216064
2022-02-27,Bonus Shares of These Commercial Banks Are Now Listed in NEPSE,"[-0.8188, -1.3470, 2.6652]",positive,0.9534914493560791
2022-02-24,"Central Bank Imposes Risk Weight on Share Loan and Various Other Loans, Regulation Tightened for Promoters to Buy Promoter Shares of Other BFIs","[-1.1143, -0.1658, 2.0557]",positive,0.8692194223403931
2022-02-21,"Deposit Collection Rose Rs. 1B in First Week of Falgun, Lending Up Rs. 4B","[2.0432, -1.8865, -1.4723]",negative,-0.9529386162757874
2022-02-16,"Deposit Collection Choked in Fourth Week of Magh, Lending Up Rs. 6B","[1.9690, -2.2219, -0.9421]",negative,-0.9349772930145264
2022-02-13,Banks and Financial Institutions Raise Interest Rates for Falgun,"[-0.0525, -1.4881, 1.8929]",positive,0.8496658205986023
2022-02-07,Commercial Banks Report Higher Deposit Collection Than Lending in Third Week of Magh,"[1.2364, -0.0851, -2.1402]",negative,-0.7686952948570251
2022-02-03,"In Relation to Anti-Money Laundering and Anti-Terrorism Efforts, Central Bank Tightens Surveillance on Monetary Transactions","[-0.9843, -0.3210, 1.8113]",positive,0.8477118611335754
2022-01-26,How Did Commercial Bank Perform During Q2? A Detailed Analysis Of Major Fundamental Indicators,"[-0.1304, -1.9495, 2.3250]",positive,0.9092961549758911
2022-01-26,"Lending Comes to An Almost Halt in Magh, Deposit Down Rs. 17 Billion","[-1.8699, 2.9608, -0.7364]",neutral,0.0
2022-01-21,Use This Ratio In Your Arsenal While Analyzing Banks,"[-0.4227, -1.5763, 2.4677]",positive,0.9319005608558655
2022-01-19,"All Commercial Banks Profitable in First 5 Months of FY, Development Banks Report Total Net Profit of Rs. 2.43 Arba","[0.2220, -2.1462, 2.1065]",positive,0.8575398921966553
2022-01-17,"Deposit Collection Rose Rs. 17 B in Last Week of Poush, Lending Rose Twice As Much","[1.9589, -2.0532, -1.0878]",negative,-0.9384309649467468
2022-01-14,"Commercial Banks Keep Interest Rate Stable for Magh, Development Banks and Finance Companies Raise Slightly","[0.8627, -1.9671, 0.8088]",negative,-0.4983687102794647
2022-01-10,Banks and Financial Institutions Instructed to Follow Stricter Protocols Amidst Risk of New Covid-19 Wave,"[-0.6145, -1.0308, 2.0329]",positive,0.8948142528533936
2022-01-10,"Deposit Collection Spikes in Fourth Week of Poush, Lending Fairly Stable","[1.7970, -1.3362, -1.7312]",negative,-0.9320207238197327
2022-01-04,"Total Deposit Up Rs. 14B in Third Week of Poush, Lending Up Rs. 11B, CD Ratio at 91.02%","[1.9854, -2.0844, -1.0972]",negative,-0.9408043622970581
2021-12-27,"Total Deposit Down Rs. 4 Billion, Lending Up Rs. 3 Billion in Second Week of Poush","[-1.2159, 2.7165, -1.4455]",neutral,0.0
2021-12-23,"Agricultural Development Bank (ADBL) Calls AGM, When's the Book Closure for 21.0526% Dividend?","[-1.0232, -0.8771, 2.5149]",positive,0.9409887790679932
2021-12-17,"Agricultural Development Bank (ADBL) proposes 21.0526% Dividend, 6% Cash Dividend also proposed for Preference Share","[-0.2680, -1.9478, 2.4166]",positive,0.9250897169113159
2021-12-15,Commercial Banks Keep Interest Rates Stable: Why This Happened and What It Means,"[-1.0681, -0.3447, 2.0437]",positive,0.8800490498542786
2021-12-14,4% Agricultural Bond of ADBL Listed in NEPSE,"[-0.4200, -1.6099, 2.5359]",positive,0.9364484548568726
